# Simulation 1 (Up to date)
# 2347 data points written for 58 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (50.3 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (13.4 oz) 74.1 in^3]"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,82.5,0,0,0,82.5,90,7.79622e4,3.2672e4,70.70526,0.4226,9.79218,NaN,254.91504,NaN,0,0,1.45453e-4,0.47473,0.39914,0.04563,0.02996,0.00247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.72047,90,15,1013.25,0.00122,340.3889,0.00505,4.80003e5,20.3327,324.69828,0.01,0.00167,0
0.01,2.90194e-5,2.90194e-5,0.02503,0.02869,11.53599,11.87235,4.67275e-5,0,4.67275e-5,89.99999,0.01402,2.80598,28.61,-80.6,81.64989,0,0,0,82.5,90,7.79409e4,3.26508e4,70.69655,0.42253,9.79218,NaN,254.89932,NaN,1676.6625,2.19685,1.91864e-4,0.47641,0.40082,0.04563,0.02996,0.00339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.67287,90,15,1013.25,0.00122,340.3889,0.00496,4.70686e5,20.3327,324.69828,0.01,0.00259,3.80168e-6
0.02,0.00121,0.00121,0.24708,0.25337,32.87553,33.35165,3.74065e-4,0,3.74065e-4,89.99998,0.05613,5.61535,28.61,-80.6,74.14028,0,0,0,82.5,90,7.79197e4,3.26295e4,70.68783,0.42246,9.79218,NaN,254.8836,NaN,3353.325,4.3949,0.00122,0.47578,0.40019,0.04563,0.02996,0.02124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.62526,90,14.99999,1013.24986,0.00122,340.3889,0.00499,4.74138e5,20.3327,324.69828,0.01,0.00345,3.26766e-5
0.03,0.00568,0.00568,0.68258,0.69417,54.22667,54.8774,0.00126,0,0.00126,89.99997,0.12633,8.42595,28.61,-80.6,60.67009,0,0,0,82.5,90,7.78984e4,3.26083e4,70.6791,0.42239,9.79218,NaN,254.86787,NaN,5029.9875,6.59415,0.00741,0.46926,0.39366,0.04563,0.02996,0.11057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.57766,90,14.99996,1013.24933,0.00122,340.38888,0.00539,5.12129e5,20.3327,324.69828,0.01,0.00418,8.93151e-5
0.04,0.01558,0.01558,1.33165,1.35047,75.58935,76.42009,0.00299,0,0.00299,89.99996,0.22465,11.23746,28.61,-80.6,45.30501,0,0,0,82.5,90,7.78772e4,3.2587e4,70.67037,0.42232,9.79218,NaN,254.85214,NaN,6706.65,8.7946,0.0283,0.45444,0.37884,0.04563,0.02996,0.29331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53005,90,14.9999,1013.24817,0.00122,340.38884,0.00647,6.14567e5,20.3327,324.69828,0.01,0.0061,1.73617e-4
0.05,0.03303,0.03303,2.19442,2.22231,97.12965,97.96778,0.00585,5.10505e-9,0.00585,89.99995,0.35096,12.78736,28.61,-80.6,32.37833,0,0,0,82.5,90,7.7856e4,3.25658e4,70.66164,0.42226,9.79218,NaN,254.83639,NaN,8383.3125,10.99625,0.07375,0.43464,0.35905,0.04563,0.02996,0.4535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.48245,90,14.99979,1013.24613,0.00122,340.38877,0.0084,7.97792e5,20.3327,324.69828,0.006,0.00692,2.85587e-4
0.056,0.04802,0.04802,2.81569,2.84875,109.9594,110.90824,0.0082,7.55572e-9,0.0082,89.99995,0.43275,14.47643,28.61,-80.6,26.69585,0,0,0,82.5,90,7.78432e4,3.2553e4,70.6564,0.42221,9.79218,NaN,254.82694,NaN,9389.31,12.31781,0.11538,0.42227,0.34668,0.04563,0.02997,0.50062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.48049,90,14.99969,1013.24437,0.00122,340.38871,0.01,9.49752e5,20.3327,324.69828,0.009,0.00765,3.65989e-4
0.065,0.07773,0.07773,3.77903,3.82024,104.11648,105.0149,0.01267,1.12317e-8,0.01267,89.99995,0.55958,13.7072,28.61,-80.6,20.82732,0,0,0,82.5,90,7.7807e4,3.25168e4,70.64149,0.4221,9.79218,NaN,254.80004,NaN,8926.47316,11.71608,0.19086,0.40677,0.33118,0.04563,0.02997,0.52068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.47754,90,14.99949,1013.24088,0.00122,340.38859,0.01261,1.19776e6,20.3327,324.69828,0.01,0.00837,4.90682e-4
0.075,0.12062,0.12062,4.78771,4.83751,97.61788,98.46022,0.01893,1.53162e-8,0.01893,89.99995,0.69237,12.85164,28.61,-80.6,16.84884,0,0,0,82.5,90,7.77667e4,3.24765e4,70.6249,0.42197,9.79218,NaN,254.77013,NaN,8412.21,11.04682,0.28137,0.3941,0.3185,0.04563,0.02997,0.51231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.47427,90,14.99922,1013.23585,0.00122,340.38842,0.01544,1.46615e6,20.3327,324.69828,0.01,0.00908,6.21255e-4
0.085,0.17335,0.17335,5.75603,5.81412,96.04546,96.87423,0.0265,1.94007e-8,0.0265,89.99996,0.81986,12.64462,28.61,-80.6,14.20222,0,0,0,82.5,90,7.77293e4,3.24391e4,70.6095,0.42185,9.79218,NaN,254.74234,NaN,8284.985,10.88498,0.37498,0.38432,0.30871,0.04563,0.02997,0.49127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.471,90,14.99887,1013.22967,0.00122,340.38822,0.0182,1.7284e6,20.3327,324.69828,0.01,0.0098,7.46609e-4
